,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10329,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19426706.0,19426706.0,False,,1,,,,2023-07-11T14:22:00.000Z,30445.897686696622,14882106196.551174,45.9929,0.14869555,0.45717089,-1.85644279,18.11014106,14.89342298,0.9099334,591463503265.5354,49.9964,639363851420.63,,2023-07-11T14:22:00.000Z,,,,,,2023-07-11 14:23:27.848063
1,1027,Ethereum,ETH,ethereum,7104,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120208181.65334852,120208181.65334852,True,,2,,,,2023-07-11T14:22:00.000Z,1867.9971406277784,6113175495.721668,21.0499,0.00572188,-0.07292656,-4.65003279,6.90794267,5.14789983,-2.00377707,224548539608.51962,18.9884,224548539608.52,,2023-07-11T14:22:00.000Z,,,,,,2023-07-11 14:23:27.848063
2,825,Tether,USDT,tether,56647,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83369138728.54579,85730981418.02774,True,,3,,,,2023-07-11T14:22:00.000Z,0.9998875101401948,21603840630.575718,21.3731,-0.03258449,-0.00415188,-0.04398304,-0.0677763,-0.04105802,-0.06400358,83359760545.81815,7.0503,85721337551.95,,2023-07-11T14:22:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-07-11 14:23:27.848063
3,1839,BNB,BNB,bnb,1493,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token']",,155849543.36951554,155849543.36951554,False,,4,,,,2023-07-11T14:22:00.000Z,247.08440194164788,655891931.4663389,5.0315,0.17524075,1.51533543,0.92140359,4.89241316,-19.36096016,-22.95056841,38507991216.33566,3.2563,38507991216.34,,2023-07-11T14:22:00.000Z,,,,,,2023-07-11 14:23:27.848063
4,3408,USD Coin,USDC,usd-coin,13269,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,27373843014.165436,27373843014.165436,False,,5,,,,2023-07-11T14:22:00.000Z,0.9999019698264638,3219546304.4466767,26.8035,-0.03063598,-0.01028688,-0.02425813,-0.01867524,0.0067759,0.02816073,27371159551.584404,2.3146,27371159551.58,,2023-07-11T14:22:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-07-11 14:23:27.848063
5,52,XRP,XRP,xrp,979,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'sec-security-token']",100000000000.0,52544091958.0,99988621362.0,False,,6,,,,2023-07-11T14:22:00.000Z,0.4728491940043065,769526863.4313333,11.3684,-0.24766743,0.06830634,-2.83852109,-6.96943151,10.30914796,-6.53625223,24845431532.02846,2.101,47284919400.43,,2023-07-11T14:22:00.000Z,,,,,,2023-07-11 14:23:27.848063
6,2010,Cardano,ADA,cardano,861,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token']",45000000000.0,34966132577.234,35967965707.143,False,,7,,,,2023-07-11T14:22:00.000Z,0.29048514115903984,228292437.3157262,-2.6806,-0.41213954,1.34103417,-1.47098286,8.4221751,-20.36666879,-27.92612192,10157141957.48352,0.8589,13071831352.16,,2023-07-11T14:22:00.000Z,,,,,,2023-07-11 14:23:27.848063
7,74,Dogecoin,DOGE,dogecoin,740,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140129586383.70523,140129586383.70523,True,,8,,,,2023-07-11T14:22:00.000Z,0.06471118058428448,203709676.37984368,2.1156,-0.32310706,0.02938046,-6.64492691,4.56762231,-9.74055824,-21.77249391,9067950969.67704,0.7668,9067950969.68,,2023-07-11T14:22:00.000Z,,,,,,2023-07-11 14:23:27.848063
8,5426,Solana,SOL,solana,484,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token']",,402653625.1231419,552082901.3726681,True,,9,,,,2023-07-11T14:22:00.000Z,21.992478273732274,550853974.7805002,26.6392,-0.86781032,5.44847866,12.94155054,42.62827308,7.30730411,-8.51724759,8855351102.360237,0.7488,12141671213.74,,2023-07-11T14:22:00.000Z,,,,,,2023-07-11 14:23:27.848063
9,2,Litecoin,LTC,litecoin,942,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73338076.72743528,84000000.0,False,,10,,,,2023-07-11T14:22:00.000Z,97.07243887904502,675620793.9041127,3.2062,-0.59715505,2.23221986,-10.23618372,24.88559207,22.71572585,4.95023471,7119105970.630675,0.602,8154084865.84,,2023-07-11T14:22:00.000Z,,,,,,2023-07-11 14:23:27.848063
10,1958,TRON,TRX,tron,785,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token']",,89823336813.24152,89823395834.44893,True,,11,71659659264.0,5525153563.585721,,2023-07-11T14:22:00.000Z,0.07710270492957003,137409856.65215197,-18.893,-0.01672299,-0.24733887,-1.18727761,11.21959,12.19372494,19.38953255,6925622234.100745,0.5856,6925626784.8,,2023-07-11T14:22:00.000Z,,,,,,2023-07-11 14:23:27.848063
11,3890,Polygon,MATIC,polygon,769,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token']",10000000000.0,9319469069.28493,10000000000.0,False,,12,,,,2023-07-11T14:22:00.000Z,0.7391338359172002,499377563.2189959,61.7994,0.32085325,4.94085286,5.33350598,18.70470337,-12.98579412,-33.3365058,6888334921.892269,0.5825,7391338359.17,,2023-07-11T14:22:00.000Z,,,,,,2023-07-11 14:23:27.848063
12,6636,Polkadot,DOT,polkadot-new,528,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1203523292.8571494,1333002170.1623292,True,,13,,,,2023-07-11T14:22:00.000Z,5.132156413434472,101270166.99530368,7.7067,-0.05567183,0.78341718,-6.74678064,14.75680902,-2.51392151,-19.84071731,6176669786.154593,0.5223,6841175636.72,,2023-07-11T14:22:00.000Z,,,,,,2023-07-11 14:23:27.848063
13,1831,Bitcoin Cash,BCH,bitcoin-cash,724,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19445725.0,19445725.0,False,,14,,,,2023-07-11T14:22:00.000Z,272.7078523126449,546337994.7184907,4.6585,-0.04448474,0.76530427,-3.32273551,166.13349262,139.2306842,111.28655624,5303001901.412307,0.4485,5726864898.57,,2023-07-11T14:22:00.000Z,,,,,,2023-07-11 14:23:27.848063
14,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1284,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem']",,157625.33778459,157625.33778459,False,,15,,,,2023-07-11T14:22:00.000Z,30353.204819865885,144014520.99356005,122.509,-0.04421455,10.07778522,-2.19458292,17.77330141,14.48513178,0.56509766,4784434162.576205,0.4046,4784434162.58,,2023-07-11T14:22:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2023-07-11 14:23:27.848063
0,1,Bitcoin,BTC,bitcoin,10329,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19426706.0,19426706.0,False,,1,,,,2023-07-11T14:23:00.000Z,30449.994037494776,14880388581.835081,45.8363,0.17541458,0.45850778,-1.83452112,18.1678278,14.81445743,0.89245576,591543081868.164,49.985,639449874787.39,,2023-07-11T14:23:00.000Z,,,,,,2023-07-11 14:24:28.901888
1,1027,Ethereum,ETH,ethereum,7104,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120208181.65334852,120208181.65334852,True,,2,,,,2023-07-11T14:23:00.000Z,1868.4730761661558,6112841478.382861,21.0044,0.04093139,-0.04599768,-4.61975597,6.97767329,5.06888117,-2.04589097,224605750954.17215,18.9932,224605750954.17,,2023-07-11T14:23:00.000Z,,,,,,2023-07-11 14:24:28.901888
2,825,Tether,USDT,tether,56647,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83369138728.54579,85730981418.02774,True,,3,,,,2023-07-11T14:23:00.000Z,0.9999503699942677,21598976225.60098,21.2895,-0.01795725,0.00408238,-0.02427781,-0.04511421,-0.04546755,-0.08298445,83365001117.7128,7.0507,85726726588.93,,2023-07-11T14:23:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-07-11 14:24:28.901888
3,1839,BNB,BNB,bnb,1493,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token']",,155849543.36951554,155849543.36951554,False,,4,,,,2023-07-11T14:23:00.000Z,247.08767636304094,655863744.8795273,4.9768,0.17078416,1.51169492,0.92867744,4.91571396,-19.37430722,-22.95795063,38508501533.414566,3.2564,38508501533.41,,2023-07-11T14:23:00.000Z,,,,,,2023-07-11 14:24:28.901888
4,3408,USD Coin,USDC,usd-coin,13269,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,27373843014.165436,27373843014.165436,False,,5,,,,2023-07-11T14:23:00.000Z,0.9999769654480494,3218535688.0715833,26.7367,-0.01281366,0.00271362,-0.00484876,-0.00076617,-0.00169047,-0.00093049,27373212469.956436,2.3147,27373212469.96,,2023-07-11T14:23:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-07-11 14:24:28.901888
5,52,XRP,XRP,xrp,979,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'sec-security-token']",100000000000.0,52544091958.0,99988621362.0,False,,6,,,,2023-07-11T14:23:00.000Z,0.47284992373187934,769838660.0247692,11.3656,-0.2412491,0.06551859,-2.83909808,-6.97297358,10.30741042,-6.55845645,24845469874.901154,2.101,47284992373.19,,2023-07-11T14:23:00.000Z,,,,,,2023-07-11 14:24:28.901888
6,2010,Cardano,ADA,cardano,861,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token']",45000000000.0,34966132577.234,35967965707.143,False,,7,,,,2023-07-11T14:23:00.000Z,0.2905932307807523,228333061.453168,-2.6531,-0.36850272,1.37412021,-1.43281379,8.47825856,-20.30899585,-27.91427396,10160921433.52654,0.8592,13076695385.13,,2023-07-11T14:23:00.000Z,,,,,,2023-07-11 14:24:28.901888
